{ Red  Green  Blue }
 0             5             250 
 0             7             248 
 0             9             246 
 0             12            243 
 0             14            241 
 0             16            239 
 0             19            236 
 0             21            234 
 0             23            232 
 0             25            230 
 0             27            228 
 0             30            225 
 0             32            223 
 0             34            221 
 0             36            219 
 0             39            216 
 0             41            214 
 0             43            212 
 0             46            209 
 0             48            207 
 0             50            205 
 0             52            203 
 0             54            201 
 0             56            199 
 0             59            196 
 0             61            194 
 0             63            192 
 0             66            189 
 0             68            187 
 0             70            185 
 0             73            182 
 0             75            180 
 0             77            178 
 0             79            176 
 0             81            174 
 0             83            172 
 0             86            169 
 0             88            167 
 0             90            165 
 0             92            163 
 0             95            160 
 0             97            158 
 0             99            156 
 0             101           154 
 0             103           152 
 0             105           150 
 0             107           148 
 0             110           145 
 0             112           143 
 0             114           141 
 0             116           139 
 0             119           136 
 0             121           134 
 0             123           132 
 0             126           129 
 0             128           127 
 0             130           125 
 0             132           123 
 0             134           121 
 0             137           118 
 0             139           116 
 0             141           114 
 0             143           112 
 0             146           109 
 0             148           107 
 0             150           105 
 0             153           102 
 0             155           100 
 0             157           98 
 0             159           96 
 0             161           94 
 0             163           92 
 0             166           89 
 0             168           87 
 0             170           85 
 0             172           83 
 0             175           80 
 0             177           78 
 0             180           75 
 0             182           73 
 0             184           71 
 0             186           69 
 0             188           67 
 0             190           65 
 0             193           62 
 0             195           60 
 0             197           58 
 0             199           56 
 0             202           53 
 0             204           51 
 0             206           49 
 0             209           46 
 0             211           44 
 0             213           42 
 0             215           40 
 0             217           38 
 0             220           35 
 0             222           33 
 0             224           31 
 0             226           29 
 0             229           26 
 0             231           24 
 0             233           22 
 0             236           19 
 0             238           17 
 0             240           15 
 0             242           13 
 0             244           11 
 0             247           8 
 0             249           6 
 0             251           4 
 0             253           2 
 0             255           0 
 2             255           0 
 4             255           0 
 6             255           0 
 9             255           0 
 11            255           0 
 13            255           0 
 15            255           0 
 17            255           0 
 20            255           0 
 22            255           0 
 24            255           0 
 26            255           0 
 29            255           0 
 31            255           0 
 33            255           0 
 36            255           0 
 37            255           0 
 39            255           0 
 41            255           0 
 44            255           0 
 46            255           0 
 48            255           0 
 50            255           0 
 53            255           0 
 55            255           0 
 57            255           0 
 60            255           0 
 62            255           0 
 64            255           0 
 66            255           0 
 68            255           0 
 71            255           0 
 73            255           0 
 75            255           0 
 77            255           0 
 80            255           0 
 82            255           0 
 84            255           0 
 87            255           0 
 89            255           0 
 91            255           0 
 93            255           0 
 95            255           0 
 98            255           0 
 100           255           0 
 102           255           0 
 104           255           0 
 106           255           0 
 109           255           0 
 111           255           0 
 113           255           0 
 116           255           0 
 118           255           0 
 120           255           0 
 122           255           0 
 124           255           0 
 127           255           0 
 129           255           0 
 131           255           0 
 133           255           0 
 136           255           0 
 138           255           0 
 140           255           0 
 143           255           0 
 145           255           0 
 147           255           0 
 149           255           0 
 151           255           0 
 154           255           0 
 156           255           0 
 158           255           0 
 160           255           0 
 163           255           0 
 165           255           0 
 167           255           0 
 170           255           0 
 172           255           0 
 174           255           0 
 176           255           0 
 178           255           0 
 181           255           0 
 183           255           0 
 185           255           0 
 187           255           0 
 190           255           0 
 192           255           0 
 194           255           0 
 197           255           0 
 199           255           0 
 201           255           0 
 203           255           0 
 205           255           0 
 207           255           0 
 210           255           0 
 212           255           0 
 214           255           0 
 216           255           0 
 219           255           0 
 221           255           0 
 223           255           0 
 226           255           0 
 227           255           0 
 229           255           0 
 231           255           0 
 234           255           0 
 236           255           0 
 238           255           0 
 240           255           0 
 243           255           0 
 245           255           0 
 247           255           0 
 250           255           0 
 252           255           0 
 254           255           0 
 255           255           0 
 255           253           0 
 255           250           0 
 255           248           0 
 255           246           0 
 255           244           0 
 255           242           0 
 255           239           0 
 255           237           0 
 255           234           0 
 255           232           0 
 255           230           0 
 255           228           0 
 255           226           0 
 255           223           0 
 255           221           0 
 255           219           0 
 255           217           0 
 255           215           0 
 255           212           0 
 255           210           0 
 255           208           0 
 255           205           0 
 255           203           0 
 255           201           0 
 255           199           0 
 255           197           0 
 255           194           0 
 255           192           0 
 255           190           0 
 255           188           0 
 255           185           0 
 255           183           0 
 255           181           0 
 255           178           0 
 255           176           0 
 255           174           0 
 255           172           0 
 255           170           0 
 255           167           0 
 255           165           0 
 255           163           0 
 255           161           0 
 255           158           0 
 255           156           0 
 255           154           0 
 255           152           0 
 255           149           0 
 255           147           0 
 255           145           0 
 255           143           0 
 255           140           0 
 255           138           0 
 255           136           0 
 255           134           0 
 255           132           0 
 255           129           0 
 255           127           0 
 255           125           0 
 255           122           0 
 255           120           0 
 255           118           0 
 255           116           0 
 255           113           0 
 255           111           0 
 255           109           0 
 255           107           0 
 255           105           0 
 255           102           0 
 255           100           0 
 255           98            0 
 255           95            0 
 255           94            0 
 255           92            0 
 255           89            0 
 255           87            0 
 255           85            0 
 255           83            0 
 255           81            0 
 255           78            0 
 255           76            0 
 255           74            0 
 255           71            0 
 255           69            0 
 255           67            0 
 255           65            0 
 255           63            0 
 255           60            0 
 255           58            0 
 255           56            0 
 255           54            0 
 255           51            0 
 255           49            0 
 255           47            0 
 255           45            0 
 255           42            0 
 255           40            0 
 255           38            0 
 255           36            0 
 255           33            0 
 255           31            0 
 255           29            0 
 255           27            0 
 255           25            0 
 255           22            0 
 255           20            0 
 255           18            0 
 255           15            0 
 255           13            0 
 255           11            0 
 255           9             0 
 255           6             0 
 255           4             0 
