{ Red  Green  Blue }
 0             0             198 
 0             0             201 
 0             0             204 
 0             0             207 
 0             0             209 
 0             0             213 
 0             0             215 
 0             0             218 
 0             0             221 
 0             0             223 
 0             0             226 
 0             0             229 
 0             0             232 
 0             0             235 
 0             0             237 
 0             0             240 
 0             0             243 
 0             0             246 
 0             0             249 
 0             0             252 
 0             0             254 
 0             1             255 
 0             4             255 
 0             6             255 
 0             10            255 
 0             12            255 
 0             15            255 
 0             17            255 
 0             20            255 
 0             23            255 
 0             26            255 
 0             29            255 
 0             31            255 
 0             34            255 
 0             37            255 
 0             40            255 
 0             43            255 
 0             45            255 
 0             48            255 
 0             51            255 
 0             53            255 
 0             56            255 
 0             59            255 
 0             62            255 
 0             64            255 
 0             67            255 
 0             70            255 
 0             73            255 
 0             76            255 
 0             79            255 
 0             81            255 
 0             84            255 
 0             87            255 
 0             90            255 
 0             93            255 
 0             96            255 
 0             98            255 
 0             101           255 
 0             104           255 
 0             107           255 
 0             110           255 
 0             113           255 
 0             115           255 
 0             118           255 
 0             120           255 
 0             123           255 
 0             126           255 
 0             129           255 
 0             132           255 
 0             135           255 
 0             137           255 
 0             140           255 
 0             143           255 
 0             146           255 
 0             149           255 
 0             151           255 
 0             154           255 
 0             157           255 
 0             160           255 
 0             163           255 
 0             166           255 
 0             168           255 
 0             171           255 
 0             174           255 
 0             177           255 
 0             180           255 
 0             182           255 
 0             185           255 
 0             188           255 
 0             191           255 
 0             194           255 
 0             196           255 
 0             199           255 
 0             202           255 
 0             205           255 
 0             207           255 
 0             211           255 
 0             213           255 
 0             216           255 
 0             219           255 
 0             222           255 
 0             224           255 
 0             228           255 
 0             230           255 
 0             233           255 
 0             236           255 
 0             238           255 
 0             241           255 
 0             245           255 
 0             247           255 
 0             250           255 
 0             252           255 
 0             255           255 
 2             255           255 
 5             255           255 
 8             255           255 
 10            255           255 
 13            255           255 
 16            255           255 
 18            255           255 
 21            255           255 
 24            255           255 
 27            255           255 
 30            255           255 
 32            255           255 
 35            255           255 
 38            255           255 
 41            255           255 
 43            255           255 
 46            255           255 
 49            255           255 
 51            255           255 
 54            255           255 
 57            255           255 
 60            255           255 
 63            255           255 
 66            255           253 
 68            255           250 
 71            255           247 
 74            255           244 
 77            255           241 
 80            255           239 
 82            255           236 
 85            255           233 
 88            255           230 
 91            255           227 
 94            255           224 
 96            255           222 
 99            255           219 
 102           255           216 
 105           255           213 
 108           255           210 
 111           255           208 
 113           255           205 
 116           255           202 
 119           255           200 
 122           255           197 
 125           255           194 
 128           255           191 
 130           255           188 
 133           255           185 
 136           255           183 
 139           255           180 
 142           255           177 
 144           255           174 
 147           255           171 
 150           255           168 
 152           255           166 
 155           255           163 
 158           255           160 
 161           255           157 
 164           255           154 
 166           255           152 
 169           255           149 
 172           255           146 
 175           255           143 
 178           255           140 
 181           255           138 
 183           255           135 
 186           255           132 
 189           255           129 
 192           255           126 
 195           255           123 
 198           255           121 
 200           255           118 
 203           255           115 
 206           255           113 
 209           255           109 
 211           255           107 
 215           255           104 
 217           255           101 
 220           255           98 
 223           255           96 
 226           255           92 
 228           255           90 
 231           255           87 
 234           255           84 
 237           255           82 
 239           255           79 
 243           255           76 
 245           255           73 
 248           255           70 
 251           255           68 
 253           255           65 
 255           255           62 
 255           255           59 
 255           255           56 
 255           255           53 
 255           255           51 
 255           255           48 
 255           255           45 
 255           255           42 
 255           255           39 
 255           255           37 
 255           255           34 
 255           255           32 
 255           255           29 
 255           255           26 
 255           255           23 
 255           255           20 
 255           255           18 
 255           255           15 
 255           255           12 
 255           255           9 
 255           255           6 
 255           255           4 
 255           255           1 
 255           254           0 
 255           252           0 
 255           249           0 
 255           246           0 
 255           243           0 
 255           241           0 
 255           238           0 
 255           235           0 
 255           232           0 
 255           229           0 
 255           226           0 
 255           224           0 
 255           221           0 
 255           218           0 
 255           215           0 
 255           212           0 
 255           209           0 
 255           207           0 
 255           204           0 
 255           201           0 
 255           198           0 
 255           195           0 
 255           192           0 
 255           190           0 
 255           187           0 
 255           184           0 
 255           182           0 
 255           179           0 
 255           176           0 
 255           173           0 
 255           170           0 
 255           168           0 
 255           165           0 
 255           162           0 
 255           159           0 
 255           156           0 
 255           153           0 
 255           151           0 
 255           148           0 
 255           145           0 
 255           142           0 
 255           139           0 
 255           137           0 
 255           134           0 
 255           131           0 
 255           128           0 
 255           125           0 
 255           122           0 
 255           120           0 
 255           117           0 
 255           114           0 
 255           111           0 
 255           108           0 
 255           106           0 
 255           103           0 
 255           100           0 
 255           97            0 
 255           94            0 
 255           92            0 
 255           89            0 
 255           86            0 
 255           83            0 
 255           81            0 
 255           77            0 
 255           75            0 
 255           72            0 
 255           69            0 
 255           66            0 
 255           64            0 
 255           60            0 
 255           58            0 
 255           55            0 
 255           53            0 
 255           50            0 
 255           47            0 
 255           44            0 
 255           41            0 
 255           39            0 
 255           36            0 
 255           33            0 
 255           31            0 
 255           28            0 
 255           25            0 
 255           22            0 
 255           19            0 
 255           17            0 
 255           14            0 
 255           11            0 
 255           8             0 
 255           6             0 
 255           3             0 
 255           0             0 
 254           0             0 
 251           0             0 
 248           0             0 
 245           0             0 
 242           0             0 
 239           0             0 
 237           0             0 
 234           0             0 
 231           0             0 
 228           0             0 
 225           0             0 
 223           0             0 
 220           0             0 
 217           0             0 
 214           0             0 
 211           0             0 
 209           0             0 
 206           0             0 
 203           0             0 
 200           0             0 
 197           0             0 
