{ Red  Green  Blue }
 254           251           254 
 253           250           254 
 253           248           254 
 252           247           253 
 252           245           253 
 251           243           253 
 251           242           253 
 250           241           252 
 250           239           252 
 249           238           252 
 248           237           253 
 248           235           252 
 247           234           251 
 246           233           251 
 245           231           251 
 245           230           251 
 244           228           251 
 243           227           251 
 242           225           251 
 241           224           251 
 240           223           251 
 239           222           251 
 238           221           251 
 237           219           251 
 236           218           251 
 235           217           251 
 234           216           251 
 233           215           251 
 231           213           252 
 230           212           253 
 229           211           252 
 228           210           252 
 226           209           252 
 225           208           253 
 224           207           254 
 223           206           253 
 221           205           253 
 220           204           253 
 218           203           253 
 217           202           253 
 215           201           253 
 214           201           253 
 212           199           253 
 211           199           253 
 209           198           254 
 208           197           255 
 206           196           254 
 205           195           254 
 203           194           254 
 201           194           254 
 200           193           254 
 198           193           254 
 197           192           254 
 195           192           254 
 193           191           254 
 191           191           254 
 189           191           254 
 187           190           254 
 186           190           254 
 184           190           254 
 182           189           254 
 180           189           254 
 178           188           254 
 176           188           254 
 174           188           254 
 172           188           254 
 170           188           254 
 168           188           253 
 166           188           253 
 164           188           253 
 162           188           253 
 161           188           252 
 158           188           252 
 157           188           251 
 155           188           251 
 153           188           251 
 151           188           250 
 149           189           250 
 146           189           249 
 144           189           249 
 142           189           248 
 141           190           248 
 139           190           247 
 137           190           247 
 134           191           246 
 132           191           245 
 130           192           244 
 129           192           243 
 127           193           243 
 125           193           242 
 123           194           241 
 121           195           240 
 119           195           239 
 117           196           238 
 115           197           237 
 113           198           236 
 111           198           235 
 110           199           234 
 108           200           232 
 106           201           231 
 105           201           230 
 104           202           229 
 102           203           227 
 100           204           226 
 98            205           225 
 96            206           223 
 94            207           222 
 93            208           221 
 91            209           219 
 89            210           217 
 88            210           216 
 86            211           214 
 85            212           212 
 84            213           211 
 82            214           208 
 80            215           207 
 79            216           205 
 78            217           203 
 76            218           201 
 75            219           199 
 74            220           197 
 73            221           195 
 72            222           193 
 71            223           191 
 70            224           189 
 69            225           187 
 67            226           185 
 66            227           182 
 65            228           180 
 65            229           178 
 64            230           175 
 63            231           173 
 62            232           171 
 61            233           168 
 61            234           165 
 60            235           163 
 60            235           161 
 59            236           158 
 59            237           156 
 58            238           153 
 58            239           150 
 57            240           148 
 57            241           145 
 57            242           142 
 56            243           139 
 56            244           136 
 56            244           134 
 56            245           131 
 55            245           128 
 55            246           126 
 55            246           123 
 55            247           119 
 55            247           117 
 55            248           114 
 56            248           111 
 56            249           108 
 56            249           105 
 57            249           102 
 57            250           99 
 58            250           96 
 58            250           93 
 59            250           90 
 59            250           87 
 60            250           84 
 61            250           81 
 62            250           78 
 62            250           76 
 63            250           73 
 65            249           70 
 66            249           67 
 67            248           64 
 68            247           61 
 70            246           59 
 71            245           57 
 73            244           55 
 74            242           52 
 76            241           50 
 77            239           48 
 79            238           46 
 80            236           44 
 82            235           42 
 83            233           40 
 85            231           38 
 86            229           36 
 87            228           34 
 88            226           32 
 90            224           31 
 91            221           29 
 92            219           27 
 94            217           26 
 95            215           24 
 97            213           23 
 98            211           21 
 100           208           20 
 101           206           19 
 102           204           17 
 103           202           16 
 104           200           15 
 105           198           14 
 107           195           13 
 108           193           12 
 109           190           11 
 110           188           10 
 111           186           9 
 112           183           8 
 113           181           7 
 114           178           7 
 115           176           6 
 116           173           5 
 117           171           4 
 118           168           4 
 119           165           3 
 119           163           3 
 120           160           3 
 121           158           2 
 121           156           2 
 122           153           1 
 123           150           1 
 123           148           0 
 124           145           0 
 124           143           0 
 125           140           0 
 125           138           0 
 126           135           0 
 126           133           0 
 126           131           0 
 127           128           0 
 127           126           0 
 127           124           0 
 127           121           0 
 127           119           0 
 127           116           0 
 127           114           0 
 127           112           0 
 127           109           0 
 127           107           0 
 127           104           1 
 127           102           1 
 127           100           0 
 127           97            1 
 127           95            2 
 126           93            2 
 126           90            2 
 126           87            3 
 126           85            3 
 125           83            3 
 124           81            4 
 124           79            4 
 123           77            5 
 123           75            5 
 122           73            6 
 121           71            6 
 121           69            7 
 120           67            7 
 119           65            8 
 118           63            8 
 118           61            9 
 117           60            9 
 116           59            9 
 115           57            10 
 114           55            10 
 113           53            11 
 112           51            11 
 111           49            12 
 110           47            12 
 109           46            13 
 108           44            13 
 106           42            14 
 105           41            15 
 104           40            15 
 103           38            16 
 102           37            16 
 101           35            17 
 99            33            17 
 98            32            17 
 97            31            18 
 96            29            18 
 94            28            18 
 92            27            19 
 91            26            19 
 89            25            19 
 88            24            20 
 87            22            20 
 85            21            21 
 83            21            21 
 82            19            21 
 81            18            22 
 79            17            22 
 78            16            22 
 76            16            22 
 75            15            22 
 73            14            23 
 72            13            23 
 70            12            23 
 68            11            23 
 67            10            23 
 65            10            23 
 63            9             23 
 62            8             23 
 60            8             23 
 58            7             23 
 57            7             23 
 55            6             23 
 53            6             23 
 52            5             23 
 51            5             23 
 49            5             22 
 48            4             22 
 47            4             22 
 44            3             22 
 43            3             21 
 42            2             21 
 40            2             21 
 38            2             20 
 37            1             20 
 35            2             19 
 34            1             19 
 32            1             19 
 31            0             18 
 29            1             18 
 28            1             17 
 26            1             16 
 25            0             16 
 23            0             15 
 22            0             14 
 20            0             13 
 19            0             13 
 17            0             12 
 16            0             11 
 14            0             10 
 13            0             10 
 12            0             9 
 10            0             8 
 9             0             7 
 7             0             6 
 6             0             5 
 5             0             4 
 4             0             3 
 3             0             2 
 2             0             1 
