{ Red  Green  Blue }
 139           0             116 
 137           0             118 
 135           0             120 
 132           0             123 
 130           0             125 
 128           0             127 
 125           0             130 
 123           0             132 
 121           0             134 
 119           0             136 
 117           0             138 
 114           0             141 
 112           0             143 
 110           0             145 
 108           0             147 
 106           0             149 
 103           0             152 
 101           0             154 
 99            0             156 
 97            0             158 
 94            0             161 
 92            0             163 
 90            0             165 
 87            0             168 
 85            0             170 
 83            0             172 
 81            0             174 
 79            0             176 
 77            0             178 
 74            0             181 
 72            0             183 
 70            0             185 
 68            0             187 
 66            0             189 
 63            0             192 
 61            0             194 
 59            0             196 
 56            0             199 
 54            0             201 
 52            0             203 
 50            0             205 
 48            0             207 
 45            0             210 
 43            0             212 
 41            0             214 
 39            0             216 
 37            0             218 
 35            0             220 
 32            0             223 
 30            0             225 
 28            0             227 
 25            0             230 
 23            0             232 
 21            0             234 
 18            0             237 
 16            0             239 
 14            0             241 
 12            0             243 
 10            0             245 
 8             0             247 
 5             0             250 
 1             0             252 
 0             0             254 
 0             1             255 
 0             4             255 
 0             8             255 
 0             13            255 
 0             17            255 
 0             20            255 
 0             24            255 
 0             28            255 
 0             32            255 
 0             36            255 
 0             40            255 
 0             44            255 
 0             48            255 
 0             51            255 
 0             55            255 
 0             59            255 
 0             63            255 
 0             67            255 
 0             71            255 
 0             74            255 
 0             79            255 
 0             83            255 
 0             87            255 
 0             91            255 
 0             95            255 
 0             99            255 
 0             102           255 
 0             107           255 
 0             111           255 
 0             115           255 
 0             118           255 
 0             122           255 
 0             126           255 
 0             131           255 
 0             134           255 
 0             138           255 
 0             142           255 
 0             146           255 
 0             150           255 
 0             154           255 
 0             158           255 
 0             162           255 
 0             166           255 
 0             169           255 
 0             174           255 
 0             178           255 
 0             182           255 
 0             186           255 
 0             190           255 
 0             194           255 
 0             197           255 
 0             201           255 
 0             206           255 
 0             210           255 
 0             213           255 
 0             216           255 
 0             220           255 
 0             225           255 
 0             229           255 
 0             233           255 
 0             237           255 
 0             241           255 
 0             244           255 
 0             249           255 
 0             252           255 
 0             255           254 
 0             255           249 
 0             255           243 
 0             255           238 
 0             255           231 
 0             255           225 
 0             255           219 
 0             255           213 
 0             255           208 
 0             255           202 
 0             255           196 
 0             255           189 
 0             255           184 
 0             255           178 
 0             255           173 
 0             255           167 
 0             255           160 
 0             255           154 
 0             255           149 
 0             255           143 
 0             255           137 
 0             255           131 
 0             255           125 
 0             255           119 
 0             255           113 
 0             255           107 
 0             255           101 
 0             255           96 
 0             255           90 
 0             255           83 
 0             255           77 
 0             255           72 
 0             255           66 
 0             255           60 
 0             255           54 
 0             255           47 
 0             255           42 
 0             255           36 
 0             255           30 
 0             255           24 
 0             255           19 
 0             255           9 
 0             255           1 
 5             255           0 
 11            255           0 
 17            255           0 
 23            255           0 
 29            255           0 
 35            255           0 
 41            255           0 
 47            255           0 
 52            255           0 
 58            255           0 
 65            255           0 
 71            255           0 
 76            255           0 
 82            255           0 
 88            255           0 
 94            255           0 
 101           255           0 
 106           255           0 
 112           255           0 
 118           255           0 
 124           255           0 
 129           255           0 
 136           255           0 
 142           255           0 
 148           255           0 
 153           255           0 
 159           255           0 
 164           255           0 
 171           255           0 
 177           255           0 
 183           255           0 
 188           255           0 
 194           255           0 
 200           255           0 
 207           255           0 
 213           255           0 
 218           255           0 
 224           255           0 
 230           255           0 
 236           255           0 
 242           255           0 
 248           255           0 
 253           255           0 
 255           254           0 
 255           251           0 
 255           248           0 
 255           245           0 
 255           242           0 
 255           239           0 
 255           236           0 
 255           233           0 
 255           230           0 
 255           227           0 
 255           224           0 
 255           221           0 
 255           218           0 
 255           216           0 
 255           213           0 
 255           210           0 
 255           206           0 
 255           203           0 
 255           201           0 
 255           198           0 
 255           195           0 
 255           192           0 
 255           188           0 
 255           186           0 
 255           183           0 
 255           180           0 
 255           177           0 
 255           174           0 
 255           171           0 
 255           168           0 
 255           165           0 
 255           162           0 
 255           160           0 
 255           156           0 
 255           153           0 
 255           150           0 
 255           147           0 
 255           145           0 
 255           142           0 
 255           139           0 
 255           135           0 
 255           132           0 
 255           130           0 
 255           127           0 
 255           124           0 
 255           121           0 
 255           117           0 
 255           115           0 
 255           112           0 
 255           109           0 
 255           106           0 
 255           103           0 
 255           100           0 
 255           97            0 
 255           94            0 
 255           91            0 
 255           89            0 
 255           86            0 
 255           82            0 
 255           79            0 
 255           76            0 
 255           74            0 
 255           71            0 
 255           68            0 
 255           64            0 
 255           61            0 
 255           59            0 
 255           56            0 
 255           53            0 
 255           50            0 
 255           47            0 
 255           44            0 
 255           41            0 
 255           38            0 
 255           35            0 
 255           32            0 
 255           29            0 
 255           26            0 
 255           23            0 
 255           20            0 
 255           18            0 
 255           15            0 
 255           11            0 
 255           8             0 
 255           5             0 
 255           3             0 
 255           0             0 
 254           0             0 
 249           0             0 
 246           0             0 
 242           0             0 
 238           0             0 
 235           0             0 
 231           0             0 
 227           0             0 
 223           0             0 
 220           0             0 
 216           0             0 
 213           0             0 
 209           0             0 
 205           0             0 
 201           0             0 
 198           0             0 
 194           0             0 
 190           0             0 
 187           0             0 
 183           0             0 
 179           0             0 
 175           0             0 
 172           0             0 
 168           0             0 
 165           0             0 
 161           0             0 
 157           0             0 
 154           0             0 
 150           0             0 
 146           0             0 
 143           0             0 
 139           0             0 
 135           0             0 
 131           0             0 
 128           0             0 
 124           0             0 
 121           0             0 
 116           0             0 
 112           0             0 
