{ Red  Green  Blue }
 255           3             0 
 255           5             0 
 255           6             0 
 255           7             0 
 255           9             0 
 255           11            0 
 255           12            0 
 255           14            0 
 255           15            0 
 255           16            0 
 255           18            0 
 255           20            0 
 255           21            0 
 255           23            0 
 255           24            0 
 255           25            0 
 255           27            0 
 255           29            0 
 255           30            0 
 255           32            0 
 255           33            0 
 255           34            0 
 255           36            0 
 255           38            0 
 255           39            0 
 255           41            0 
 255           42            0 
 255           43            0 
 255           45            0 
 255           47            0 
 255           48            0 
 255           50            0 
 255           51            0 
 255           52            0 
 255           54            0 
 255           55            0 
 255           57            0 
 255           58            0 
 255           60            0 
 255           61            0 
 255           62            0 
 255           64            0 
 255           66            0 
 255           67            0 
 255           69            0 
 255           70            0 
 255           71            0 
 255           73            0 
 255           75            0 
 255           76            0 
 255           78            0 
 255           79            0 
 255           80            0 
 255           82            0 
 255           84            0 
 255           85            0 
 255           87            0 
 255           88            0 
 255           89            0 
 255           91            0 
 255           93            0 
 255           94            0 
 255           96            0 
 255           97            0 
 255           98            0 
 255           100           0 
 255           102           0 
 255           103           0 
 255           105           0 
 255           106           0 
 255           107           0 
 255           109           0 
 255           111           0 
 255           112           0 
 255           114           0 
 255           115           0 
 255           116           0 
 255           118           0 
 255           120           0 
 255           121           0 
 255           123           0 
 255           124           0 
 255           125           0 
 255           127           0 
 255           129           0 
 255           130           0 
 255           132           0 
 255           133           0 
 255           134           0 
 255           136           0 
 255           138           0 
 255           139           0 
 255           140           0 
 255           142           0 
 255           143           0 
 255           145           0 
 255           146           0 
 255           148           0 
 255           149           0 
 255           151           0 
 255           152           0 
 255           153           0 
 255           155           0 
 255           157           0 
 255           158           0 
 255           160           0 
 255           161           0 
 255           162           0 
 255           164           0 
 255           166           0 
 255           167           0 
 255           169           0 
 255           170           0 
 255           171           0 
 255           173           0 
 255           175           0 
 255           176           0 
 255           178           0 
 255           179           0 
 255           180           0 
 255           182           0 
 255           183           0 
 255           185           0 
 255           186           0 
 255           188           0 
 255           189           0 
 255           191           0 
 255           192           0 
 255           194           0 
 255           195           0 
 255           197           0 
 255           198           0 
 255           200           0 
 255           201           0 
 255           203           0 
 255           204           0 
 255           206           0 
 255           207           0 
 255           209           0 
 255           210           0 
 255           212           0 
 255           213           0 
 255           215           0 
 255           216           0 
 255           218           0 
 255           219           0 
 255           221           0 
 255           222           0 
 255           224           0 
 255           225           0 
 255           227           0 
 255           228           0 
 255           230           0 
 255           231           0 
 255           233           0 
 255           234           0 
 255           236           0 
 255           237           0 
 255           239           0 
 255           240           0 
 255           242           0 
 255           243           0 
 255           245           0 
 255           246           0 
 255           248           0 
 255           249           0 
 255           251           0 
 255           252           0 
 255           254           0 
 255           255           0 
 254           255           1 
 253           253           2 
 252           252           3 
 250           250           5 
 249           249           6 
 247           247           8 
 246           246           9 
 244           244           11 
 243           243           12 
 241           241           14 
 240           240           15 
 238           238           17 
 237           237           18 
 235           235           20 
 234           234           21 
 232           232           23 
 231           231           24 
 229           229           26 
 228           228           27 
 226           226           29 
 225           225           30 
 223           223           32 
 222           222           33 
 220           220           35 
 219           219           36 
 217           217           38 
 216           216           39 
 214           214           41 
 213           213           42 
 211           211           44 
 210           210           45 
 208           208           47 
 207           207           48 
 205           205           50 
 204           204           51 
 202           202           53 
 201           201           54 
 199           199           56 
 198           198           57 
 196           196           59 
 195           195           60 
 193           193           62 
 192           192           63 
 190           190           65 
 189           189           66 
 187           187           68 
 186           186           69 
 184           184           71 
 183           183           72 
 181           181           74 
 180           180           75 
 179           179           76 
 177           177           78 
 175           175           80 
 174           174           81 
 172           172           83 
 171           171           84 
 170           170           85 
 168           168           87 
 166           166           89 
 165           165           90 
 164           164           91 
 162           162           93 
 161           161           94 
 159           159           96 
 157           157           98 
 156           156           99 
 155           155           100 
 153           153           102 
 152           152           103 
 150           150           105 
 149           149           106 
 147           147           108 
 146           146           109 
 144           144           111 
 143           143           112 
 141           141           114 
 140           140           115 
 138           138           117 
 137           137           118 
 136           136           119 
 134           134           121 
 133           133           122 
 131           131           124 
 129           129           126 
 128           128           127 
 127           127           128 
 125           125           130 
 124           124           131 
 122           122           133 
 120           120           135 
 119           119           136 
 118           118           137 
 116           116           139 
 115           115           140 
 113           113           142 
 111           111           144 
 110           110           145 
 109           109           146 
 107           107           148 
 106           106           149 
 104           104           151 
 102           102           153 
 101           101           154 
 100           100           155 
 98            98            157 
 97            97            158 
 95            95            160 
 93            93            162 
 92            92            163 
 91            91            164 
 89            89            166 
 88            88            167 
 86            86            169 
 84            84            171 
 83            83            172 
 82            82            173 
 80            80            175 
 79            79            176 
 77            77            178 
 75            75            180 
 74            74            181 
 73            73            182 
 71            71            184 
 70            70            185 
 68            68            187 
 66            66            189 
 65            65            190 
 64            64            191 
 62            62            193 
 61            61            194 
 59            59            196 
 57            57            198 
 56            56            199 
 55            55            200 
 53            53            202 
 52            52            203 
 51            51            204 
 49            49            206 
 47            47            208 
 46            46            209 
 45            45            210 
 43            43            212 
 42            42            213 
 40            40            215 
 38            38            217 
 37            37            218 
 36            36            219 
 34            34            221 
 33            33            222 
 31            31            224 
 29            29            226 
 28            28            227 
 27            27            228 
 25            25            230 
 24            24            231 
 22            22            233 
 20            20            235 
 19            19            236 
 18            18            237 
 16            16            239 
 15            15            240 
 13            13            242 
 11            11            244 
 10            10            245 
 9             9             246 
 7             7             248 
 6             6             249 
 4             4             251 
 2             2             253 
