{ Red  Green  Blue }
 122           7             198 
 127           7             214 
 129           7             226 
 127           7             233 
 123           7             237 
 115           7             238 
 107           7             239 
 100           7             239 
 92            7             239 
 82            7             239 
 71            7             239 
 55            7             239 
 40            7             239 
 27            8             238 
 17            8             236 
 12            8             234 
 9             8             231 
 8             8             227 
 8             8             224 
 8             8             222 
 8             8             219 
 8             8             216 
 8             8             212 
 8             8             208 
 8             8             204 
 8             8             200 
 8             8             196 
 8             8             193 
 8             8             189 
 8             8             184 
 8             8             180 
 8             8             175 
 8             8             170 
 8             8             165 
 8             8             161 
 8             7             155 
 8             8             151 
 8             11            146 
 8             15            141 
 8             19            134 
 8             24            128 
 8             30            121 
 8             36            115 
 8             41            112 
 8             47            108 
 8             53            106 
 8             59            104 
 8             65            104 
 8             71            104 
 8             77            104 
 8             83            105 
 8             88            106 
 8             93            107 
 8             97            109 
 8             99            111 
 8             100           112 
 8             99            114 
 8             98            116 
 8             97            119 
 8             97            124 
 8             98            131 
 8             100           137 
 8             102           143 
 8             104           148 
 8             107           151 
 8             111           154 
 8             115           156 
 8             119           157 
 8             122           158 
 8             126           159 
 8             129           159 
 8             133           159 
 8             136           160 
 8             138           161 
 8             142           162 
 8             145           163 
 8             149           165 
 8             153           165 
 8             158           166 
 8             161           167 
 8             165           169 
 8             169           171 
 8             173           173 
 8             177           177 
 8             181           181 
 8             185           185 
 8             188           188 
 8             192           192 
 8             195           195 
 8             198           198 
 8             201           201 
 8             204           204 
 8             207           207 
 8             210           210 
 8             213           213 
 8             216           216 
 8             218           218 
 8             220           220 
 8             222           222 
 8             225           225 
 8             226           226 
 8             228           228 
 8             231           231 
 8             233           233 
 8             234           234 
 8             236           235 
 8             237           236 
 8             238           235 
 8             238           232 
 8             238           229 
 8             238           224 
 8             238           220 
 8             237           215 
 8             236           210 
 8             235           203 
 8             233           197 
 8             232           189 
 8             231           179 
 8             231           168 
 8             230           157 
 8             229           144 
 8             228           134 
 8             227           126 
 8             225           120 
 8             224           116 
 8             222           114 
 8             220           114 
 8             219           114 
 8             216           115 
 8             214           117 
 8             211           118 
 8             208           118 
 8             204           118 
 8             200           117 
 8             196           116 
 8             192           114 
 8             189           112 
 8             186           109 
 8             183           103 
 8             181           97 
 8             179           91 
 8             177           86 
 8             174           83 
 8             172           81 
 8             169           80 
 8             166           80 
 8             162           80 
 8             159           80 
 8             154           80 
 8             151           79 
 8             147           79 
 8             143           79 
 8             139           79 
 8             136           78 
 8             134           77 
 8             132           75 
 8             133           71 
 8             135           66 
 8             137           61 
 8             139           56 
 8             140           51 
 8             140           44 
 8             139           35 
 9             138           25 
 12            139           17 
 17            140           12 
 24            141           9 
 33            145           8 
 42            148           8 
 48            153           8 
 51            156           8 
 54            160           8 
 56            163           8 
 58            167           8 
 60            171           8 
 64            176           8 
 67            179           8 
 70            183           8 
 74            187           8 
 77            190           8 
 81            193           8 
 85            197           8 
 88            199           8 
 92            200           8 
 97            202           8 
 103           204           8 
 108           206           8 
 115           208           8 
 120           210           8 
 126           211           8 
 132           213           8 
 138           216           8 
 143           218           8 
 151           220           8 
 158           222           8 
 164           224           8 
 171           226           8 
 177           227           8 
 184           228           8 
 190           230           8 
 197           230           8 
 204           230           8 
 211           230           8 
 217           230           8 
 223           230           8 
 226           228           8 
 226           226           8 
 225           223           8 
 224           221           8 
 224           219           8 
 224           215           8 
 224           210           8 
 224           205           8 
 224           201           8 
 224           196           8 
 224           191           8 
 224           186           8 
 224           182           8 
 224           178           8 
 224           173           8 
 224           167           8 
 224           163           8 
 224           157           8 
 224           151           8 
 224           144           8 
 224           139           8 
 224           133           8 
 224           128           8 
 224           122           8 
 224           115           8 
 224           109           8 
 224           104           8 
 224           98            8 
 224           92            8 
 224           88            8 
 224           84            8 
 224           80            8 
 224           75            8 
 223           69            8 
 223           65            8 
 223           59            8 
 223           52            8 
 222           45            8 
 221           39            8 
 220           32            8 
 219           26            8 
 217           19            8 
 214           14            8 
 211           10            8 
 208           9             8 
 205           8             8 
 202           8             8 
 199           8             8 
 195           8             8 
 191           8             8 
 185           8             8 
 180           8             8 
 175           8             8 
 170           8             8 
 163           8             8 
 157           8             8 
 151           8             8 
 145           8             8 
 140           8             8 
 134           8             8 
 128           8             8 
 122           8             8 
 118           8             8 
 114           8             8 
 111           8             8 
 106           8             8 
 105           9             9 
 109           13            13 
 112           18            18 
 113           20            20 
 114           23            23 
 115           26            26 
 117           29            29 
 119           32            31 
 120           35            34 
 121           37            37 
 123           40            40 
 124           42            42 
 125           45            45 
 127           48            49 
 128           51            52 
 129           53            54 
 130           56            56 
 132           59            59 
 133           62            61 
 135           65            64 
 136           67            67 
 138           70            69 
 139           73            72 
 141           76            75 
 142           78            78 
 143           81            81 
 144           83            83 
 146           86            86 
 147           89            90 
 148           92            92 
 150           95            95 
 151           98            98 
 152           100           100 
 153           103           103 
 155           105           106 
 156           108           108 
 158           111           110 
 159           114           114 
 161           116           116 
 162           119           119 
 164           122           122 
 164           124           124 
 166           127           127 
 168           130           130 
 169           133           133 
 170           136           136 
 171           139           138 
 173           141           141 
 174           144           144 
 176           147           147 
 177           150           150 
 178           153           153 
 180           155           155 
 181           157           157 
 182           160           160 
 183           163           163 
 184           166           166 
 186           168           169 
 188           171           171 
 190           174           174 
 191           176           176 
 192           179           179 
 193           182           182 
 195           185           185 
 196           187           187 
 198           190           190 
 199           192           193 
 200           196           196 
 201           199           199 
