{ Red  Green  Blue }
 115           65            2 
 117           68            3 
 119           71            4 
 121           74            4 
 122           77            5 
 124           79            6 
 127           82            6 
 129           85            7 
 131           88            7 
 133           91            7 
 134           93            8 
 137           97            9 
 138           99            9 
 140           102           10 
 142           105           11 
 144           108           11 
 145           110           12 
 147           113           13 
 149           116           13 
 151           119           13 
 153           122           14 
 154           124           15 
 156           127           16 
 159           130           16 
 162           134           16 
 164           137           17 
 165           139           18 
 166           142           18 
 168           145           19 
 171           148           20 
 173           151           20 
 174           153           21 
 176           156           22 
 178           159           22 
 180           161           23 
 181           164           23 
 183           167           24 
 185           170           24 
 187           173           25 
 189           176           26 
 191           179           26 
 193           182           27 
 196           185           27 
 197           187           28 
 199           190           29 
 201           192           29 
 203           195           29 
 204           198           30 
 207           201           31 
 208           204           31 
 210           207           32 
 210           209           33 
 208           209           33 
 204           207           32 
 201           205           31 
 198           204           30 
 194           202           30 
 190           201           30 
 187           199           29 
 183           197           28 
 179           195           28 
 176           194           27 
 171           192           26 
 167           191           26 
 164           189           26 
 160           188           24 
 156           186           24 
 152           185           23 
 149           182           23 
 145           181           22 
 141           179           21 
 137           178           21 
 132           176           21 
 129           174           20 
 125           172           19 
 122           170           19 
 117           169           19 
 114           168           18 
 109           166           17 
 106           164           17 
 102           162           16 
 98            160           15 
 95            159           14 
 91            158           14 
 86            156           13 
 82            154           13 
 79            153           12 
 75            151           12 
 72            150           11 
 68            148           10 
 63            146           9 
 60            144           9 
 56            143           9 
 53            142           8 
 50            140           7 
 46            138           7 
 41            136           6 
 36            134           6 
 33            133           5 
 30            132           4 
 27            130           3 
 23            128           3 
 17            126           3 
 13            125           2 
 10            123           1 
 7             122           0 
 3             120           0 
 1             120           2 
 0             122           6 
 0             124           10 
 0             126           15 
 0             128           19 
 0             131           23 
 0             133           27 
 0             136           33 
 0             139           37 
 0             141           41 
 0             143           46 
 0             145           50 
 0             147           55 
 0             151           60 
 0             153           65 
 0             155           69 
 0             158           73 
 0             160           78 
 0             163           83 
 0             165           87 
 0             168           92 
 0             170           97 
 0             173           101 
 0             175           106 
 0             178           110 
 0             181           115 
 0             183           120 
 0             185           125 
 0             188           129 
 0             190           133 
 0             192           138 
 0             194           143 
 0             197           148 
 0             200           152 
 0             203           157 
 0             205           161 
 0             207           165 
 0             209           170 
 0             213           175 
 0             216           180 
 0             218           185 
 0             220           189 
 0             222           193 
 0             224           198 
 0             228           203 
 0             230           208 
 0             232           212 
 0             234           216 
 0             237           221 
 0             240           225 
 0             243           231 
 0             245           236 
 0             247           240 
 0             250           244 
 0             252           249 
 0             253           253 
 0             250           255 
 0             247           255 
 0             243           255 
 0             239           255 
 0             235           255 
 0             231           255 
 0             226           255 
 0             221           255 
 0             217           255 
 0             212           255 
 0             208           255 
 0             204           255 
 0             198           255 
 0             194           255 
 0             190           255 
 0             185           255 
 0             181           255 
 0             176           255 
 0             171           255 
 0             167           255 
 0             163           255 
 0             158           255 
 0             152           255 
 0             148           255 
 0             143           255 
 0             138           255 
 0             134           255 
 0             129           255 
 0             125           255 
 0             120           255 
 0             115           255 
 0             111           255 
 0             106           255 
 0             101           255 
 0             97            255 
 0             93            255 
 0             87            255 
 0             83            255 
 0             79            255 
 0             74            255 
 0             69            255 
 0             65            255 
 0             60            255 
 0             55            255 
 0             51            255 
 0             46            255 
 0             41            255 
 0             37            255 
 0             33            255 
 0             28            255 
 0             23            255 
 0             18            255 
 0             14            255 
 0             9             255 
 0             5             255 
 0             2             255 
 2             2             255 
 3             2             255 
 5             3             255 
 7             5             255 
 9             7             255 
 11            9             255 
 13            10            255 
 15            12            255 
 17            13            255 
 19            15            255 
 21            16            255 
 23            18            255 
 25            19            255 
 27            21            255 
 29            23            255 
 31            25            255 
 33            26            255 
 35            28            255 
 37            29            255 
 39            31            255 
 41            32            255 
 43            34            255 
 46            35            255 
 48            37            255 
 49            39            255 
 51            41            255 
 53            42            255 
 55            43            255 
 57            45            255 
 59            47            255 
 61            48            255 
 63            50            255 
 65            51            255 
 67            53            255 
 69            55            255 
 71            57            255 
 74            58            255 
 75            59            255 
 77            61            255 
 79            62            255 
 81            64            255 
 84            66            255 
 85            67            255 
 87            68            255 
 89            70            255 
 91            72            255 
 93            74            255 
 95            75            255 
 97            77            255 
 100           78            255 
 102           80            255 
 103           81            255 
 105           83            255 
 108           85            255 
 110           87            255 
 111           88            255 
 113           89            255 
 115           91            255 
 117           93            255 
 120           94            255 
 121           95            255 
 122           96            254 
 121           95            252 
 120           94            249 
 120           93            246 
 118           91            241 
 117           89            239 
 116           87            235 
 114           85            232 
 113           84            229 
 112           83            226 
 111           81            222 
 110           79            219 
 109           78            216 
 108           77            212 
 107           75            209 
 106           73            206 
 104           71            202 
 103           69            199 
 102           68            196 
 101           67            193 
 100           65            189 
 98            64            186 
 97            62            182 
 96            61            179 
 95            59            176 
 93            57            173 
 93            56            170 
 91            54            166 
 90            53            162 
 89            51            159 
 88            50            156 
 87            48            153 
 86            47            150 
 84            45            146 
 83            44            143 
 82            42            139 
 81            40            136 
 80            38            133 
 79            37            129 
 78            35            126 
 76            34            122 
 75            32            119 
 74            31            116 
 73            29            113 
 72            28            109 
 71            26            106 
 69            24            103 
 68            22            99 
 67            21            96 
 66            19            93 
 64            18            90 
 63            17            86 
 62            15            83 
 61            13            80 
 60            12            77 
 59            10            73 
 57            9             70 
 56            7             66 
 55            5             63 
 54            3             60 
