{ Red  Green  Blue }
 57            20            113 
 60            24            114 
 55            19            109 
 53            17            105 
 52            16            103 
 51            15            102 
 50            14            101 
 48            14            100 
 50            14            101 
 52            16            103 
 52            18            104 
 52            16            103 
 50            16            102 
 51            15            102 
 51            15            103 
 51            15            102 
 52            16            103 
 53            17            104 
 54            18            105 
 53            17            104 
 54            20            107 
 54            18            106 
 55            19            107 
 54            20            106 
 56            20            108 
 55            21            107 
 55            21            108 
 55            21            107 
 55            21            108 
 55            21            107 
 54            21            108 
 55            23            108 
 56            23            110 
 57            25            110 
 55            25            111 
 55            27            112 
 56            26            112 
 55            27            114 
 55            27            112 
 55            27            114 
 55            27            112 
 56            28            115 
 56            28            113 
 56            28            115 
 56            28            113 
 56            28            115 
 56            28            113 
 56            28            115 
 56            28            113 
 54            28            115 
 54            29            113 
 57            29            116 
 56            28            113 
 56            28            115 
 55            29            116 
 55            31            117 
 56            32            118 
 57            33            119 
 56            34            119 
 56            34            117 
 57            35            120 
 57            35            118 
 58            36            121 
 57            35            118 
 57            38            120 
 57            39            121 
 58            40            122 
 59            41            123 
 58            40            122 
 57            43            122 
 58            43            124 
 58            44            123 
 56            43            122 
 58            44            123 
 60            46            125 
 61            47            126 
 62            47            128 
 61            47            126 
 59            46            125 
 58            45            124 
 59            44            125 
 61            47            126 
 60            46            125 
 61            47            126 
 62            47            128 
 61            46            127 
 61            47            126 
 63            45            127 
 62            48            127 
 62            47            128 
 62            48            127 
 63            49            128 
 64            50            129 
 65            51            130 
 65            51            128 
 65            51            130 
 64            50            129 
 65            51            130 
 64            50            129 
 65            51            130 
 65            51            128 
 65            51            130 
 66            52            129 
 67            53            130 
 68            54            131 
 69            55            132 
 69            55            134 
 69            55            132 
 71            57            132 
 73            59            136 
 72            58            135 
 73            59            134 
 75            61            136 
 74            60            135 
 74            60            137 
 75            61            136 
 76            62            137 
 77            60            138 
 74            60            137 
 74            60            135 
 75            61            136 
 77            61            136 
 76            60            135 
 75            61            136 
 76            62            137 
 75            61            136 
 76            64            138 
 77            65            139 
 77            67            138 
 76            66            137 
 77            67            138 
 78            68            139 
 79            69            140 
